state,officers,pop,depts
alabama,6382.0,2655312.0,207
alaska,841.0,179674.0,33
arizona,8236.0,4150740.0,79
arkansas,3487.0,1440681.0,168
california,35327.0,20608951.0,329
colorado,6074.0,3404325.0,144
connecticut,79.0,23900.0,2
delaware,1309.0,226025.0,29
florida,19265.0,6719981.0,237
georgia,8538.0,3016070.0,246
hawaii,2034.0,873000.0,1
idaho,1304.0,756209.0,61
illinois,28207.0,10180527.0,572
indiana,7654.0,3362224.0,308
iowa,3229.0,1882821.0,227
kansas,4109.0,2042968.0,190
kentucky,4452.0,2209895.0,177
louisiana,8248.0,2251388.0,160
maine,4.0,2500.0,1
maryland,4606.0,1238560.0,60
massachusetts,129.0,16900.0,3
michigan,13521.0,6644909.0,369
minnesota,5338.0,3695144.0,246
mississippi,3575.0,1372331.0,133
missouri,8702.0,3347490.0,320
montana,712.0,436280.0,53
nebraska,2129.0,1154111.0,100
nevada,3414.0,1881933.0,14
new-hampshire,45.0,6120.0,3
new-jersey,1882.0,535312.0,20
new-mexico,2496.0,1144977.0,61
new-york,52830.0,13810419.0,372
north-carolina,11309.0,4152371.0,277
north-dakota,1234.0,403429.0,39
ohio,18294.0,8044168.0,567
oklahoma,5221.0,2575290.0,276
oregon,3526.0,2147208.0,124
pennsylvania,18230.0,7655456.0,646
south-carolina,3991.0,1275804.0,149
south-dakota,702.0,394385.0,37
tennessee,8376.0,3106248.0,208
texas,39243.0,14687703.0,642
utah,2184.0,1573427.0,76
virginia,5597.0,2193967.0,121
washington,5955.0,3097832.0,174
west-virginia,82.0,8000.0,3
wisconsin,8240.0,3513944.0,362
wyoming,747.0,329128.0,49
